"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"Dasar - Dasar Pemrogaman"	""	""	""	""	""	""	""	""
"S"	"1"	"PAT"	""	""	""	""	""	""	""	""
"Q"	"1"	"Dalam pemrograman web, kita mengenal istilah Client-side dan Server-side Scripting. Apakah yang dimaksud Server-side Scripting tersebut...&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"bahasa pemrograman web yang pengolahan datanya dilakukan oleh komputer server"	""	"#REF!"	"1"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman web yang pengolahan datanya dilakukan oleh komputer pengguna / pengunjung"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman yang bisa dimodifikasi oleh pengguna"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman tingkat rendah yang digunakan untuk mesin"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"bahasa pemrograman yang hanya bisa dilihat oleh client"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"dari gambar tersebut, menunjukkan bahwa itu termasuk kategori bahasa pemrograman tingkat&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"rendah"	""	"#REF!"	"1"	""	""	""	""	""
"A"	"1"	"menengah"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"tinggi"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"cukup rendah"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"cukup tinggi"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Apa fungsi dari $_POST ...&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Untuk mengumpulkan data formulir dan tidak terlihat oleh orang lain"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Untuk mengumpulkan data formulir yang dapat terlihat oleh orang lain"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Untuk mengumpulkan data dari database"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Untuk mengisi data pada formulir"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Semua salah"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Struktur HTML yang benar adalah...&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"<html>
<head>
	<title></title>
</head>
<body>

</body>
</html>"	""	"#REF!"	"1"	""	""	""	""	""
"A"	"1"	"<html>
<head>
	<title></title>
</head>
<body>

</body>
<footer>
	
</footer>
</html>"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"<html>
<head>
</head>
	<title></title>
<body>

</body>
</html>"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"<html>
<head>
</head>
<body>
	<title></title>

</body>
</html>"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"<html>
<body>
	<title></title>

</body>
<head>
</head>
</html>"	""	"0"	"5"	""	""	""	""	""
