"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"Bahasa Inggris"	""	""	""	""	""	""	""	""
"S"	"1"	"Ujian Sekolah"	""	""	""	""	""	""	""	""
"Q"	"1"	"Mandy : Let me _____myself. My name is Mandy Lawson. Andy : Hi... I am Andy. Nice to meet you! Mandy : Nice to meet you too.&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"introducing"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"introduce"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"introduced"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"introduces"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"I told you yesterday that I ___ the cinema with my family tomorrow, so I can’t go with you.&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"will go"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"am going to go to"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"wont’t go"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"will be going"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Wendy : What do you think of my singing? Joy : It sounds great, but I suggest you try singing in a high tune. Wendy : Okay, thanks Joy. Joy : No problem Wendy. From the dialogue above, Wendy is___&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Giving help"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Giving an opinion"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Asking for help"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Asking for an opinion"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Jeni : Dita, why do you look so sad? Dita : I got bad scores on my last test. What should I do, Jen? Jeni : Why don’t you watch a live class from Youtube to learn better? Dita : That’s a good idea. I’ll try to do that. Thanks, Jeni. Jeni : Anytime, Dita. According to the conversation above, which expression shows giving suggestion?&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"Dita, why you look so sad?"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"What should I do, Jen?"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Why don’t you watch a live class from Youtube to learn better?"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"I’ll try to do that."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Gilda : I think the car is too small for us. Remember we are four. Peter : I’m with you. We need a ____one. Gilda : So, which car are we going to buy, then?&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"big"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"biggest"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"bigger"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"too big"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
