"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"S=SUBJECT"	"subject_enabled"	"subject_name"	"subject_description"	""	""	""	""	""	""	""
"Q=QUESTION"	"question_enabled"	"question_description"	"question_explanation"	"question_type"	"question_difficulty"	"question_position"	"question_timer"	"question_fullscreen"	"question_inline_answers"	"question_auto_next"
"A=ANSWER"	"answer_enabled"	"answer_description"	"answer_explanation"	"answer_isright"	"answer_position"	"answer_keyboard_key"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"M"	"1"	"Matematika"	""	""	""	""	""	""	""	""
"S"	"1"	"Ujian Sekolah"	""	""	""	""	""	""	""	""
"Q"	"1"	"Bentuk sederhana dari  ((a^(-4 ) 〖.b〗^2 c)/(a.b^(-6  ) 〖.c〗^3 ))^2 adalah…&nbsp;"	""	"S"	"1"	"1"	"0"	"0"	"0"	"0"
"A"	"1"	"b^8/(a^5 c^2 )"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"c^8/(a^6 b^8 )   "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"a^16/(b^10 c^4 )"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"b^16/(a^10 c^4 )  "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"a^10/(〖   b〗^16 c^4 )"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bentuk sederhana dari  (3√5+√15)/(2√5-√15)=&nbsp;"	""	"S"	"1"	"2"	"0"	"0"	"0"	"0"
"A"	"1"	"3-√15"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"3 -  √3"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"9+√15"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"9 + 5√3"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"9+√15"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bentuk sederhana dari     6√3  +2 √12-4  √27  +2 √75  adalah…
Cutatan di luhur dina naskah drama kaasup kana bagéan….&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"8√3 "	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"6 √3  "	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"5 √3  "	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"4 √3  "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"3√3  "	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Sistem pertidaksamaan linear yang memenuhi untuk daerah penyelesaian (daerah yang diarsir) pada sketsa grafik di bawah adalah ....&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"5x + 6 y ≥ 30 ; x – y ≥ 1 ; x ≤ 4 ; y ≥ 0"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"5x + 6 y ≤ 30 ; x – y ≥ 1 ; x ≤ 4 ; y ≥ 0 "	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≥ 30 ; x + y ≥ 1 ; x ≤ 4 ; y ≤ 0 "	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≤ 30 ; x + y ≥ 1 ; x ≥ 4 ; y ≤ 0 "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≥ 30 ; x + y ≤ 1 ; x ≥ 4 ; y ≤ 0"	""	"0"	"5"	""	""	""	""	""
